

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1990 to November 7, 2016, retrieved on November 8, 2016"
" (9808 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station SNTACRUZ.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         8906            0            0            0          902        "
"                     SNTACRUZ.A   none         none         none         "
"Air Temps, max/min    9295            0            0            0          513        "
"                     SNTACRUZ.A   none         none         none         "
"Soil Temps, max/min   9137            0            0            0          671        "
"                     SNTACRUZ.A   none         none         none         "
"Rel. Humidity         9321            0            0            0          487        "
"                     SNTACRUZ.A   none         none         none         "
"ETo                   9432            0            0            0          376        "
"                     SNTACRUZ.A   none         none         none         "
"Solar Radiation       9299            0            0            0          509        "
"                     SNTACRUZ.A   none         none         none         "
"Wind Speed & Dir      9414            0            0            0          394        "
"                     SNTACRUZ.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SNTACRUZ.A,19900101,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900102,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900103,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900104,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900105,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900106,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900107,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900108,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900109,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900110,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900111,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900112,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900113,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900114,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900115,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900116,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900117,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900118,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900119,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900120,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900121,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900122,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900123,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900124,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900125,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900126,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900127,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900128,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900129,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900130,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900131,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900201,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900202,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900203,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900204,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900205,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900206,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900207,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900208,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900209,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900210,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900211,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900212,,,,,,,,,,,,,,,,,,
SNTACRUZ.A,19900213,,,,,,,,,,,,,,,,,,
